n,short_name,cat.x,cat1,cat2,group,govern,year,id,paddd,paddd_type,paddd_type.1,paddd_status,paddd_enacted,paddd_events,trends,hits,area_km2,acc_50k,pop_50k,amp_div,bir_div,mam_div,tot_div,alt,tri,bioma,alt_r,Min_dist,Avg_dist,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat.y,esfera,area_km2_mod,pop_50k_mod,alt_r_mod,acc_50k_mod,tot_div_mod,Min_dist_mod,year_mod
136,PARNA DA CHAPADA DIAMANTINA,Parque,PAR,PARNA,PI,federal,1985,0000.00.0137,0,none,none,none,0,0,7,5730,1521.41,160,12046.1507985592,44,363,130,537,1035.18870702643,37.6968523147514,Caatinga,1376,216.6286482,1211.708246,59,0,1451,332,0,1451,Parque,Federal,1.3672243174864118,-0.21929524908289658,1.67581912205067,0.6992054368108691,-0.6680360053431691,0.9226753686388969,1.0718096445637917
1066,PARES DE PORTO FERREIRA,Parque,PAR,PE,PI,estadual,1962,0000.35.0823,0,none,none,none,0,0,0,5560,6.81,17,32072.773065567,49,469,150,668,582.257352941176,8.64246323529412,Mata Atlantica,74,72.878845,1095.179492,1,0,880,2,0,1282,Parque,Estadual,-0.4660050913767586,0.28803297108194914,-0.2891517436254126,-0.8685085329180784,0.2529411739057114,0.38186584269070245,2.8481266913193313
144,PARNA DA SERRA DA CAPIVARA,Parque,PAR,PARNA,PI,federal,1979,0000.00.0145,0,none,none,none,0,0,23,5390,1007.61,182,3818.46833193302,30,316,122,468,520.18755900556,8.79956467009336,Caatinga,286,348.1864044,1441.50782,32,0,1451,379,0,1451,Parque,Federal,1.2240741716923755,-0.8144446491941421,0.6169724138118566,0.7908497178871116,-1.2480941073513423,1.1593579450201066,1.5351967002391498
1082,PARES DO JARAGU<c1>,Parque,PAR,PE,PI,estadual,1961,0000.35.0859,0,none,none,none,0,0,5,5340,4.89,15,930202.79750824,93,525,146,764,885.989473684211,36.0184210526316,Mata Atlantica,322,0,1120.555181,0,NA,NA,0,NA,NA,NA,NA,-0.5641045822920685,2.0326623010660505,0.6967617279987209,-0.9527839151274649,0.8196277870838926,-1.7718471866319445,2.925357867265224
141,PARNA DA SERRA DA BOCAINA,Parque,PAR,PARNA,PI,federal,1971,0000.00.0142,1,downsize,downsize,Enacted,1,1,8,5310,1038.69,34,63020.993871212,119,535,153,807,937.064902361382,57.2443915217909,Mata Atlantica,2032,0,1071.547055,7,0,1451,47,0,1451,Parque,Federal,1.2346262757341102,0.6379805850332644,1.9388834582587735,-0.3927088404309632,1.050737799316149,-1.7718471866319445,2.153046107806294
166,PARNA DE UBAJARA,Parque,PAR,PARNA,PI,federal,1953,0000.00.0167,1,downsize,downsize,Enacted,1,1,6,5170,62.71,62,20204.7945418358,25,271,113,409,513.701110162255,50.5697053800171,Caatinga,738,213.2795624,1831.589393,3,0,1451,15,0,1451,Parque,Federal,0.263767595674698,0.048635242718278,1.2555940422788405,0.02786060376914491,-1.8162760664434612,0.9149120414998626,3.543207274832368
843,PARES DO RIO DOCE,Parque,PAR,PE,PI,estadual,1944,0000.31.0394,0,none,none,none,0,0,11,4910,359.46,1,43171.5037150383,68,462,151,681,286.223794843049,19.3810958520179,Mata Atlantica,276,118.7309002,1077.268181,2,0,865,27,0,1451,Parque,Estadual,0.8663226601412536,0.44199401319433823,0.5930263845210404,-2.440652942534779,0.3342751908035195,0.6235564700774211,4.238287858345405
158,PARNA DE BRAS<cd>LIA,Parque,PAR,PARNA,PI,federal,1961,0000.00.0159,1,downsize,downsize,Enacted,1,2,7,4890,423.55,4,112623.628880978,58,383,138,579,1121.36808769793,13.48571863581,Cerrado,532,0,1161.831447,6,0,1451,25,0,1451,Parque,Federal,0.9232211960146808,0.9387769147449788,1.0349521800481052,-1.7850343195872909,-0.350361230996049,-1.7718471866319445,2.925357867265224
154,PARNA DAS EMAS,Parque,PAR,PARNA,PI,federal,1961,0000.00.0155,0,none,none,none,0,0,10,4400,1327.85,142,2230.23715800047,41,403,129,573,830.274230592559,4.07150512938294,Cerrado,177,269.3511324,1297.106277,12,0,1451,33,0,1451,Parque,Federal,1.319945613873121,-1.0929515072108253,0.2944268079566894,0.614374315734106,-0.3943073136968467,1.031267130172152,2.925357867265224
1074,PARES DA CANTAREIRA,Parque,PAR,PE,PI,estadual,1968,0000.35.0844,0,none,none,none,0,0,15,4240,76.2,5,964432.663705826,94,532,146,772,960.985815602837,33.5043520309478,Mata Atlantica,446,0,1108.698846,5,0,923,22,0,1451,Parque,Estadual,0.33054361304352026,2.051385036756516,0.9161408004718619,-1.6545807377264288,0.8635929191454302,-1.7718471866319445,2.3847396356439727
134,PARNA CAVERNAS DO PERUA<c7>U,Parque,PAR,PARNA,PI,federal,1999,0000.00.0135,0,none,none,none,0,0,0,3940,564.48,155,7355.50624299049,46,333,134,513,690.580827926528,12.4327538152243,Cerrado,397,293.0612547,1133.328558,4,0,1451,19,0,1451,Parque,Federal,1.0228839487649204,-0.4748441120119146,0.8377447887051364,0.676632152879337,-0.8608957899923506,1.07334921919545,-0.009426818678710303
1217,PARES DE VILA VELHA,Parque,PAR,PE,PI,estadual,1953,0000.41.0550,0,none,none,none,0,0,15,3710,32.15,17,23423.8389320374,48,439,122,609,873.947368421053,18.0422932330827,Mata Atlantica,276,60.74560739,1303.234191,3,0,1451,60,0,1451,Parque,Estadual,0.0366241739778893,0.12522457656668368,0.5930263845210404,-0.8685085329180784,-0.1372348858571834,0.2920597646270963,3.543207274832368
170,PARNA DO DESCOBRIMENTO,Parque,PAR,PARNA,PI,federal,1999,0000.00.0171,0,none,none,none,0,0,0,3580,226.94,62,7038.21620798111,75,416,139,630,67.2839422643212,7.50814727108705,Mata Atlantica,115,7.915572426,1198.83832,2,1,1108,6,0,1451,Parque,Federal,0.706978269304836,-0.49768622490020925,0.005307544191228026,0.02786060376914491,0.005805866337110198,-0.6766763160464504,-0.009426818678710303
965,PARES DA PEDRA BRANCA,Parque,PAR,PE,PI,estadual,1974,0000.33.1478,0,none,none,none,0,0,9,3350,125.23,17,695597.088552952,103,521,146,770,322.079937304075,64.6223049784398,Mata Atlantica,930,0,1118.804354,6,0,890,33,0,1451,Parque,Estadual,0.5015033966564159,1.8820862511956833,1.4115408262902938,-0.8685085329180784,0.8526444409893303,-1.7718471866319445,1.9213525799686149
852,PARES PICO DO ITAMB<c9>,Parque,PAR,PE,PI,estadual,1998,0000.31.0404,0,none,none,none,0,0,0,3310,65.21,166,7742.19380652905,59,386,146,591,1330.06454121306,41.6502721617418,Mata Atlantica,1236,156.8761904,1078.968929,0,NA,NA,0,NA,NA,NA,NA,0.277150053845134,-0.4483023459476182,1.6034246650054365,0.725385689764976,-0.2638167007100646,0.7619993550103862,0.0678043572671827
145,PARNA SERRA DAS CONFUS<d5>ES,Parque,PAR,PARNA,PI,federal,1998,0000.00.0146,0,none,none,none,0,0,0,3170,8238.45,283,7518.56713330746,32,335,122,489,551.139927476808,7.83362029752447,Cerrado,460,337.887691,1361.241197,3,0,1107,17,0,1451,Parque,Federal,1.9543419219071174,-0.4634855891137219,0.936963819839571,1.10530948843378,-1.062979396746839,1.1443719850682141,0.0678043572671827
876,PARES SERRA DO INTENDENTE,Parque,PAR,PE,PI,estadual,2007,0000.31.1762,0,none,none,none,0,0,0,3090,135.12,101,6300.09414839745,62,441,153,656,1138.86440044826,37.9750186776242,Cerrado,817,79.84342459,1065.290802,0,NA,NA,0,NA,NA,NA,NA,0.527729837912405,-0.5550779123538581,1.3241710728396427,0.3726223829984645,0.17644840321208494,0.4269620511195981,-0.6272762262458543
830,PARES DO SUMIDOURO,Parque,PAR,PE,PI,estadual,1980,0000.31.0368,0,none,none,none,0,0,3,2870,20.05,27,198646.497067451,64,459,153,676,711.149625935162,16.1995012468828,Cerrado,174,23.96244172,1065.355938,2,1,921,11,0,1451,Parque,Estadual,-0.12127509093195182,1.23278345809285,0.2829499210315303,-0.5523711209093464,0.30317784515651813,-0.16129166741943035,1.4579655242932568
137,PARNA DA CHAPADA DOS GUIMAR<c3>ES,Parque,PAR,PARNA,PI,federal,1989,0000.00.0138,0,none,none,none,0,0,4,2380,326.46,24,35281.0928801,47,477,137,661,468.006480164375,24.9094555081397,Cerrado,611,0,1534.910104,11,0,1451,54,0,1451,Parque,Federal,0.8329394763415591,0.3374269449604278,1.128273154678624,-0.6334593541706984,0.20848881600615804,-1.7718471866319445,0.7628849407802197
184,PARNA MARINHO DOS ABROLHOS,Parque,PAR,PARNA,PI,federal,1983,0000.00.0185,0,none,none,NA,0,0,5,2290,878.95,220,2310.2061252594,NA,NA,NA,NA,5.08333333333333,NA,Marinho,24,59.40297611,1200.093368,10,0,1451,12,0,1451,Parque,Federal,1.1766276613085709,-1.0747075177301382,-1.03094273418967,0.9258503838576702,NA,0.28105476109491034,1.2262719964555777
1224,PARES DA SERRA DO TABULEIRO,Parque,PAR,PE,PI,estadual,1975,0000.42.0786,1,downsize,downsize,Enacted,1,1,4,2240,839.12,36,87447.3984694481,56,416,102,574,581.140250790782,46.3485793189842,Mata Atlantica,1292,0,1443.906282,3,0,1105,13,0,1451,Parque,Estadual,1.1605226841845606,0.8076918271267798,1.6333201458490012,-0.3529478475231821,-0.38695115830671833,-1.7718471866319445,1.8441214040227218
164,PARNA DE S<c3>O JOAQUIM,Parque,PAR,PARNA,PI,federal,1961,0000.00.0165,1,downsize,Proposed,Proposed,0,1,4,2140,455.24,50,19876.5869013071,58,398,107,563,1272.15534584673,48.0834543191953,Mata Atlantica,1490,72.35971048,1492.587547,3,0,1451,10,0,1451,Parque,Federal,0.94825089646879,0.04015053262968309,1.7295249831040136,-0.12333395947064034,-0.46858181257419407,0.3783359254047193,2.925357867265224
161,PARNA DE JERICOACOARA,Parque,PAR,PARNA,PI,federal,2013,0000.00.0162,0,none,none,none,0,0,3,2060,88.63,95,10157.5572147369,20,280,107,407,13.5659751037344,3.3813834726091,Caatinga,95,215.2586474,1926.746602,14,0,1451,18,0,1451,Parque,Federal,0.38245000432433734,-0.30763726445415007,-0.12247002740175926,0.32924463214999034,-1.836941683195546,0.9195141851924288,-1.0906632819212123
1234,PARES DO TURVO,Parque,PAR,PE,PI,estadual,1947,0000.43.1018,0,none,none,none,0,0,5,1980,167.67,98,17331.5886955261,47,404,101,552,297.077512776831,28.5008517887564,Mata Atlantica,340,192.351525,1585.545797,2,1,952,12,0,1451,Parque,Estadual,0.6022764387329033,-0.03083131507193478,0.7333783215997507,0.3512621772141457,-0.5518203355887841,0.8634665180110876,4.006594330507726
964,PARES DA ILHA GRANDE,Parque,PAR,PE,PI,estadual,1971,0000.33.1477,0,none,none,NA,0,0,0,1920,122.31,51,96907.1020922661,17,40,7,64,324.341433778858,60.3008456201214,Marinho,998,0,1107.262167,3,0,1001,3,0,1451,Parque,Estadual,0.4933660879935802,0.8609079990359045,1.4591399004423549,-0.1094400519290133,-9.599798592247971,-1.7718471866319445,2.153046107806294
666,PARES DO JALAP<c3>O,Parque,PAR,PE,PI,estadual,2001,0000.17.1486,0,none,none,none,0,0,4,1900,1589.7,199,441.185491889715,40,318,123,481,461.563217250389,9.02543655124516,Cerrado,556,86.52733569,1362.78802,10,0,1451,155,0,1451,Parque,Estadual,1.3824806662242544,-1.9315376567726152,1.0646908841013032,0.8544096732366158,-1.1325465676856612,0.466726654167107,-0.16388917057049632
1084,ESEC JUR<c9>IA-ITATINS,Esta<e7><e3>o Ecol<f3>gica,ESEC,ESEC,PI,estadual,1986,0000.35.0862,0,none,none,none,0,0,0,1880,843.79,3,22919.6497125626,80,509,135,724,192.658918762648,27.0554616460713,Mata Atlantica,1434,42.46316918,1161.335845,2,0,1067,16,0,1451,Estação Ecológica,Estadual,1.1624500296695073,0.11395140309583665,1.7036765728956154,-1.9446966000656745,0.5926680083017044,0.11630129371724056,0.9945784686178988
859,PARES DO ITACOLOMI,Parque,PAR,PE,PI,estadual,1967,0000.31.0413,0,none,none,none,0,0,4,1850,61.43,49,25072.2855432034,74,469,153,696,1143.9375,48.9240056818182,Mata Atlantica,1074,67.66530253,1071.478095,0,NA,NA,0,NA,NA,NA,NA,0.2567110795839736,0.1604584379076019,1.5086468810996163,-0.13750301170159396,0.42621740021488663,0.3452320687096957,2.461970811589866
69,ESEC DO TAIM,Esta<e7><e3>o Ecol<f3>gica,ESEC,ESEC,PI,federal,1986,0000.00.0070,1,downgrade,Proposed,Proposed,0,1,4,1820,109.38,84,8142.14793998387,21,288,53,362,2.36112257531985,1.12561906727198,Pampa,14,284.6327543,2007.894696,2,0,1451,31,0,1451,Estação Ecológica,Federal,0.4548519261564656,-0.42220952487169094,-1.3758559027091715,0.24216880113760222,-2.3308232636111343,1.05879173005911,0.9945784686178988
971,PARES DOS TR<ca>S PICOS,Parque,PAR,PE,PI,estadual,2002,0000.33.1485,0,none,none,none,0,0,3,1800,587.59,3,372005.577459097,120,547,156,823,948.567942785023,72.9553218342448,Mata Atlantica,2202,23.50811214,1111.689191,2,0,991,18,0,1451,Parque,Estadual,1.0368105178966431,1.5578283908937678,1.9931076874953972,-1.9446966000656745,1.1336053603470073,-0.1704864363579432,-0.2411203465163893
165,PARNA DE SETE CIDADES,Parque,PAR,PARNA,PI,federal,1961,0000.00.0166,0,none,none,none,0,0,6,1790,63.04,118,7936.83405637741,30,268,112,410,193.248730964467,8.5507614213198,Caatinga,136,127.0575415,1799.235495,5,0,1451,32,0,1451,Parque,Federal,0.26556386843071045,-0.43543990486876744,0.11765577586775908,0.4829193148773378,-1.8059810304031907,0.6572120231500155,2.925357867265224
963,PARES DA SERRA DA TIRIRICA,Parque,PAR,PE,PI,estadual,1993,0000.33.1476,0,none,none,none,0,0,4,1760,34.91,47,562783.945091248,94,531,146,771,145.484444444444,50.2783825816485,NA,387,6.66852369,1136.838405,2,0,864,5,0,1451,Parque,Estadual,0.06442976787913933,1.7723142508019223,0.8205630153697623,-0.16671171031911453,0.8581222255600013,-0.7521015305720686,0.4539602369966477
157,PARNA DE APARADOS DA SERRA,Parque,PAR,PARNA,PI,federal,1959,0000.00.0158,1,downsize,downsize,Enacted,1,1,5,1730,131.48,82,14205.914036274,60,414,93,567,807.995717344754,38.8423893647395,Mata Atlantica,895,11.4467984,1601.684083,9,0,1451,36,0,1451,Parque,Federal,0.5183057300215065,-0.1338603879886267,1.3856676510116523,0.22513195446325845,-0.43871518505512885,-0.509650465404658,3.07982021915701
172,PARNA DO JA<da>,Parque,PAR,PARNA,PI,federal,1980,0000.00.0173,0,none,none,none,0,0,4,1700,23673.23,450,955.42199960351,89,501,174,764,53.7473028559058,3.1526617948186,Amazonia,81,70.18465282,2591.800731,14,0,1451,18,0,1451,Parque,Federal,2.3213092528907078,-1.5318397366377516,-0.2289022345311097,1.4362296643958496,0.8196277870838926,0.3632696200313169,1.4579655242932568
966,PARES DO DESENGANO,Parque,PAR,PE,PI,estadual,1970,0000.33.1479,0,none,none,none,0,0,3,1660,214.04,125,40151.7232606411,100,509,148,757,902.620617599257,74.850708149524,Mata Atlantica,1630,65.70197412,1134.276868,1,0,890,7,0,1451,Parque,Estadual,0.6867225958293388,0.40442480229114425,1.790122328004534,0.5238169462382497,0.7807794880076172,0.3307104816299769,2.2302772837521867
1073,PARES DA ILHA DO CARDOSO,Parque,PAR,PE,PI,estadual,1962,0000.35.0841,0,none,none,none,0,0,4,1510,131.55,141,10131.1627204418,63,486,126,675,154.40223880597,37.4929680940386,Mata Atlantica,784,100.6884725,1231.534677,3,0,946,19,0,1451,Parque,Estadual,0.518489392863169,-0.30898516888246635,1.2963669705554424,0.609353145964675,0.29693082228272905,0.5417951826392359,2.8481266913193313
602,RDS MAMIRAU<c1>,Reserva de Desenvolvimento Sustent<e1>vel,RDS,RDS,US,estadual,1990,0000.13.0986,1,downgrade,downgrade,Enacted,1,1,0,1480,13199.31,1675,3266.85441082716,91,525,186,802,49.8680317393555,3.37864842840041,Amazonia,63,380.4539002,2749.238385,8,0,1451,6,0,1451,Reserva de Desenvolvimento Sustentável,Estadual,2.1182090801885938,-0.8952565315338424,-0.3962430110877826,2.375483098748202,1.0245048770671428,1.2036013551497802,0.6856537648343267
1093,PARES INTERVALES,Parque,PAR,PE,PI,estadual,1995,0000.35.1676,0,none,none,none,0,0,7,1440,406.51,172,18529.4021821022,86,510,140,736,653.726891260041,45.0789923270591,Mata Atlantica,1087,114.9117504,1180.623459,3,0,927,9,0,1451,Parque,Estadual,0.9089784425300398,0.0037902923995550308,1.5167632010630459,0.7506417383923889,0.6620448364227138,0.6073288364488711,0.2994978851048617
152,PARNA DA SERRA GERAL,Parque,PAR,PARNA,PI,federal,1992,0000.00.0153,0,none,none,none,0,0,5,1420,173.02,79,18190.307790637,60,413,91,564,817.833513513513,54.17875,Mata Atlantica,969,9.193045717,1588.720007,5,0,1451,17,0,1451,Parque,Federal,0.6131333408754363,-0.005778409416501976,1.4392491675752868,0.1987910502891277,-0.46109534435493804,-0.6096453963232797,0.5311914129425407
174,PARNA DO PANTANAL MATOGROSSENSE,Parque,PAR,PARNA,PI,federal,1981,0000.00.0175,0,none,none,none,0,0,4,1410,1359.23,206,1331.24215262383,46,401,121,568,95.1845946047349,1.50207762728398,Pantanal,181,228.5417761,1576.661311,9,0,1451,30,0,1451,Parque,Federal,1.3280605894504662,-1.3601315949783832,0.30943203119969553,0.8790243672712423,-0.43128139210126337,0.9493537748043053,1.3807343483473637
716,PARES DUNAS DE NATAL,Parque,PAR,PE,PI,estadual,1977,0000.24.1475,1,downsize,none,Proposed,0,1,0,1410,11.35,6,67572.4314079285,21,272,112,405,64.1971830985916,15.6775,Marinho,96,0,1833.67661,3,0,1451,34,0,1451,Parque,Estadual,-0.30667720103415036,0.6741082186751732,-0.11547299838670642,-1.5442838058475559,-1.8577088512976043,-1.7718471866319445,1.6896590521309358
139,PARNA DA LAGOA DO PEIXE,Parque,PAR,PARNA,PI,federal,1986,0000.00.0140,0,none,none,none,0,0,5,1350,367.29,179,1216.34926008759,23,335,59,417,5.21811278301224,2.38652224483862,Pampa,47,101.2471443,1807.363785,3,0,1451,16,0,1451,Parque,Federal,0.8737943389307985,-1.406857720818898,-0.5904880342799936,0.779022774967619,-1.7346095598554925,0.5445378246544093,0.9945784686178988
182,PARNA GRANDE SERT<c3>O VEREDAS,Parque,PAR,PARNA,PI,federal,1989,0000.00.0183,1,downsize,Proposed,Proposed,0,1,3,1310,2308.49,150,2276.80993247032,49,341,138,528,800.231758600635,6.34760994050016,Cerrado,254,126.7967798,1125.112414,5,0,1451,11,0,1451,Parque,Federal,1.5121166022942942,-1.0822485016595564,0.5371503094416564,0.6533234548228156,-0.7393310267192961,0.6561916581185837,0.7628849407802197
1058,PARES CARLOS BOTELHO,Parque,PAR,PE,PI,estadual,1982,0000.35.0810,0,none,none,none,0,0,5,1290,401.36,42,20105.4815545082,88,520,139,747,636.581092590339,35.6022934663584,Mata Atlantica,954,92.1206847,1168.465309,2,0,926,9,0,1451,Parque,Estadual,0.9045564698271125,0.04608246752720408,1.4287262440855366,-0.24541886399281732,0.724655021641197,0.4977352373504965,1.3035031724014707
17,APA DE GUARAQUE<c7>ABA,<c1>rea de Prote<e7><e3>o Ambiental,APA,APA,US,federal,1985,0000.00.0017,0,none,none,none,0,0,0,1280,2824.4,16,106400.624173403,69,505,129,703,218.156309486041,29.0992982126843,Mata Atlantica,1484,37.702255,1227.084685,2,1,1451,3,0,1451,Área de Proteção Ambiental,Federal,1.582218350846648,0.9093283709426101,1.7268023695055146,-0.9094061642789907,0.4684486887332612,0.058225873392051805,1.0718096445637917
1079,PARES DE ILHABELA,Parque,PAR,PE,PI,estadual,1977,0000.35.0855,0,none,none,none,0,0,0,1280,293.18,113,17149.3762860298,10,265,5,280,484.896905482677,58.9693528586461,Mata Atlantica,1350,1.51979303,1118.373039,2,0,910,4,0,1451,Parque,Estadual,0.7956764540761807,-0.036306771889793775,1.6629482127548434,0.452205854914931,-3.412911026293389,-1.3092218437353398,1.6896590521309358
221,RESEX CHICO MENDES,Reserva Extrativista,RESEX,RESEX,US,federal,1990,0000.00.0222,0,none,none,none,0,0,5,1270,9314.51,51,14368.6551772952,103,557,189,849,253.700705834561,8.58123092243719,Amazonia,212,0,2543.796322,3,0,1112,5,0,1451,Reserva Extrativista,Federal,1.9970194973590043,-0.12795926141614328,0.41563232788281285,-0.1094400519290133,1.2648929374664495,-1.7718471866319445,0.6856537648343267
142,PARNA DA SERRA DA BODOQUENA,Parque,PAR,PARNA,PI,federal,2000,0000.00.0143,0,none,none,none,0,0,4,1250,769.76,204,3401.74503180385,45,370,109,524,528.832198664333,19.6621685145562,Cerrado,667,165.0652941,1515.178588,4,0,1451,3,0,1451,Parque,Federal,1.130563307073171,-0.8743000164477566,1.1873915277412495,0.8720775772111136,-0.7714079185117683,0.7873137009211493,-0.0866579946246033
680,APA DAS REENTR<c2>NCIAS MARANHENSES,<c1>rea de Prote<e7><e3>o Ambiental,APA,APA,US,estadual,1991,0000.21.1885,0,none,none,none,0,0,0,1240,26361.12,3,85805.4307954311,38,455,140,633,19.3398242804329,5.02606436650448,Amazonia,153,0,1912.863433,0,NA,NA,0,NA,NA,NA,NA,2.3586998523104006,0.7978712904295534,0.1966359008284185,-1.9446966000656745,0.02585069540016245,-1.7718471866319445,0.6084225888884337
916,PARES DA PEDRA AZUL,Parque,PAR,PE,PI,estadual,1960,0000.32.1673,0,none,none,none,0,0,3,1230,9.76,89,22750.4918966293,97,494,151,742,1590.26530612245,68.5044642857143,Mata Atlantica,626,31.42425491,1146.209566,3,0,1451,31,0,1451,Parque,Estadual,-0.3545955821947744,0.11011357388067212,1.1446227974983214,0.28306643249851415,0.696310782563467,-0.030372518862541095,3.0025890432111173
93,FLONA DE IPANEMA,Floresta,FLO,FLONA,US,federal,1992,0000.00.0094,0,none,none,none,0,0,5,1120,53.85,14,83446.991437912,77,510,145,732,675.563752276867,21.9160974499089,Mata Atlantica,440,54.26882871,1136.043904,0,NA,NA,0,NA,NA,NA,NA,0.21170518997004992,0.7834316703814111,0.9070162392137281,-0.9989621147789406,0.639045540449207,0.2365884982597048,0.5311914129425407
87,FLONA DE CARAJ<c1>S,Floresta,FLO,FLONA,US,federal,1998,0000.00.0088,0,none,none,none,0,0,0,1110,3912.54,3,9261.84194931388,62,433,136,631,459.081228539244,33.0585225499111,Amazonia,753,466.0824551,1725.526073,4,0,1117,8,0,1451,Floresta,Federal,1.6954920863972067,-0.35546068490496346,1.2691619587704421,-1.9446966000656745,0.01249804541501768,1.3049769197467656,0.0678043572671827
267,PARNA DA CHAPADA DAS MESAS,Parque,PAR,PARNA,PI,federal,2005,0000.00.0272,1,downgrade,Proposed,Proposed,0,1,0,1110,1599.51,111,4404.97381055355,35,313,121,469,309.654395914171,13.2316933638444,Cerrado,450,327.6509124,1576.011276,6,0,1451,42,0,1451,Parque,Federal,1.3846182998730983,-0.7404341331153278,0.9221560496768274,0.4395415640288629,-1.2390928042581217,1.1290178505573822,-0.47281387435406835
